SampleID,Chloride (mg/g dry soil),Nitrite (mg/g dry soil),Nitrate (mg/g dry soil),Phosphate (mg/g dry soil),Lithium (mg/g dry soil),Ammonium (mg/g dry soil),NPOC (mg/g dry soil),TDN (mg/g dry soil),Treatment,plot,Replicate,Year,Moisture,pH,EC ,OM
CL1_1,0.021471348,0.000375687,0.023131732,0.01020449,0.001827306,0,0.037495798,0.004874339,LowGrazing,1,1,2019,0.103296703,6.11,154.7,7.823426573
CL1_2,1.79E-02,3.70E-05,0.041373542,0.000293197,0.001919577,0,0.037889478,0.006695667,LowGrazing,1,2,2019,0.148741419,5.92,108.6,7.437070938
CL1_3,1.36E-02,0,0.044242078,0.001033979,0.001773735,0,0.065991047,0.007718865,LowGrazing,1,3,2019,0.078723404,5.96,123.5,8.068353883
CL1_4,1.19E-02,0,0.032296257,0.00083035,0.001841485,0,0.068487711,0.005642035,LowGrazing,1,4,2019,0.094091904,6.21,132.1,6.579520697
CL1_5,0.009923676,0.002279706,0.019740146,0.003708004,0.001823711,0.018798071,0.945444339,0.026292482,LowGrazing,1,5,2019,0.10816777,5.7,212,6.828528073
CL2_1,0.011529345,0.000985352,0.027924414,4.88E-06,0.001822867,0,0.066108217,0.004627919,LowGrazing,2,1,2019,0.10816777,6.17,149.2,7.579987116
CL2_2,0.006740085,0.001119196,0.000150061,4.09E-06,0.001737738,0,0.091461553,0.003755087,LowGrazing,2,2,2019,0.076923077,6.92,225,8.205128205
CL2_3,0.008287505,0.001212349,0.017672706,0.000438918,0.001677757,0.092153307,0.436263695,0.054743606,LowGrazing,2,3,2019,0.048117155,5.66,189.6,6.336088154
CL2_4,1.19E-02,0,0.027563394,0.001496923,0.00170979,0,0.066197908,0.005657111,LowGrazing,2,4,2019,0.078891258,5.87,102.7,7.173447537
CL2_5,7.92E-03,0,0,0.000301552,0.001655966,0,0.109351706,0.005107156,LowGrazing,2,5,2019,0.063694268,5.9,105.9,7.374062165
CLEX1_1,1.14E-02,0,0.018800102,0.000269945,0.00175372,0,0.058926524,0.004194872,NoGrazing,1,1,2019,0.085653105,6.29,101.1,5.852090032
CLEX1_2,0.009231132,7.92E-05,0.005748604,0.000406112,0.001763785,0,0.068062355,0.002583161,NoGrazing,1,2,2019,0.090909091,6.37,105.6,5.444685466
CLEX1_3,6.87E-03,0,0.018693665,0.000502255,0.001738171,0,0.049211234,0.002861268,NoGrazing,1,3,2019,0.076923077,6.32,96.1,6.140545334
CLEX1_4,0.013741748,0.000105111,0.05365003,0.000288268,0.001738007,0,0.071219232,0.004188398,NoGrazing,1,4,2019,0.084051724,6.13,113.2,5.831533477
CLEX1_5,0.006389045,0.002808045,0.030504463,0.001695873,0.001712737,0,0.083603127,0.004746528,NoGrazing,1,5,2019,0.09375,7.24,273,6.095517386
CLEX2_1,1.33E-02,0,0.022682602,0.000314636,0.001735885,0,0.052028797,0.003823072,NoGrazing,2,1,2019,0.074468085,5.94,90.8,6.615285806
CLEX2_2,8.61E-03,0,0.021641342,0.000359729,0.001686365,0,0.044246131,0.004453333,NoGrazing,2,2,2019,0.065957447,6.05,99,5.450549451
CLEX2_3,0.010444441,0,0.038232328,0.00069838,0.001722176,0,0.100236038,0.005404154,NoGrazing,2,3,2019,0.070512821,5.68,103.7,7.208952012
CLEX2_4,1.62E-02,1.22E-05,0.019045319,0.000520363,0.001698135,0.009228191,0.078641123,0.008980191,NoGrazing,2,4,2019,0.06302521,5.69,109.4,6.974789916
CLEX2_5,9.36E-03,0,0,0.001202434,0.001734794,0,0.16582931,0.003350828,NoGrazing,2,5,2019,0.070850202,5.96,93.6,6.288032454
CH1_1,0.006365947,7.63E-05,0.014550353,0.000216009,0.001766109,0,0.100233032,0.002906114,HighGrazing,1,1,2019,0.092600606,6,72.1,5.428812843
CH1_2,1.75E-03,2.05E-05,0.023871564,7.29E-05,0.001800872,0,0.046714454,0.003280489,HighGrazing,1,2,2019,0.1069869,6.35,65.5,4.900221729
CH1_3,1.98E-03,5.06E-05,0,0.000913796,0.001701128,0,0.047289241,0.002385231,HighGrazing,1,3,2019,0.063157895,6.19,92.2,5.950378469
CH1_4,1.57E-02,0,0.011215769,3.03E-05,0.001652915,0,0.035395077,0.002357137,HighGrazing,1,4,2019,0.041666667,5.81,93.5,6.089238845
CH1_5,0.001744907,0.000873575,0.014445238,0.000187883,0.001742767,0,0.994082097,0.002708975,HighGrazing,1,5,2019,0.080260304,6.17,72.7,4.959756363
CH2_1,0.003212882,0.001237558,0.013796583,0.000512685,0.001716545,0,0.045007426,0.002525435,HighGrazing,2,1,2019,0.072649573,6.28,83.2,4.563533598
CH2_2,3.69E-03,0,0.030454555,0.000474958,0.002258092,0,0.105827586,0.010313825,HighGrazing,2,2,2019,0.321899736,5.88,97.8,5.027027027
CH2_3,0.003312564,6.15E-05,0.026234016,0.000427736,0.001687616,0.000704749,0.043640618,0.005041501,HighGrazing,2,3,2019,0.056722689,5.97,80,5.686109945
CH2_4,0.014040458,0.001875666,0.005612084,0.000659451,0.001711494,0,0.0365031,0.002712839,HighGrazing,2,4,2019,0.063694268,5.88,94.9,6.037735849
CH2_5,0.005689502,0.000353963,0.014672579,0.001611245,0.001808929,0,0.075460273,0.006252784,HighGrazing,2,5,2019,0.077586207,6.02,103.3,6.76056338
NE1_1,0.006658428,0.00011957,0.02193951,0.000671639,0.001737162,0,0.091115698,0.009007349,HighNoGrazing,1,1,2019,0.081196581,6.3,142.2,6.761268781
NE1_2,1.79E-03,0,0.040207513,0.00688775,0.001738094,0.002563015,0.043500947,0.004610834,HighNoGrazing,1,2,2019,0.081896552,6.11,34.4,7.5
NE1_3,0.003523483,0.000166202,0.000517311,0.002981708,0.00184623,0,0.113627114,0.002829366,HighNoGrazing,1,3,2019,0.123042506,6,131.5,8.745583039
NE1_4,0.002759506,0.000159875,0.023061913,0.003803339,0.001760061,0,0.034006854,0.003754895,HighNoGrazing,1,4,2019,0.088937093,6.1,80.7,7.025862069
NE1_5,0.003105515,0.000671694,0.032291318,0.002694821,0.001792441,0,0.310516937,0.006356836,HighNoGrazing,1,5,2019,0.116331096,6.42,94.2,5.952114567
NE2_1,0.006550229,6.60E-04,0,0.00016888,0.001700685,0,0.053861658,0.002692104,HighNoGrazing,2,1,2019,0.068085106,6.16,116.7,5.834207765
NE2_2,0.002400938,5.72E-05,0.019698608,0.000784516,0.001664465,0,0.029534683,0.002918022,HighNoGrazing,2,2,2019,0.048218029,5.99,67.5,5.081081081
NE2_3,4.82E-03,0,0.012310449,0.000367276,0.001743879,0,0.0623663,0.003159508,HighNoGrazing,2,3,2019,0.077253219,6.07,84.2,6.793015332
NE2_4,6.44E-03,3.62E-05,0.000325756,0.000372571,0.001731635,0,0.082669058,0.002383497,HighNoGrazing,2,4,2019,0.077419355,6.12,71.1,6.038543897
NE2_5,1.29E-03,0,0.007250277,0.001545646,0.001729706,0,2.217149622,0.003121113,HighNoGrazing,2,5,2019,0.066239316,6.04,78.4,4.893031137